VCD info: dumpfile sim/out/p1_top_tb.vcd opened for output.
t=3565000 instr=0 addr=0x0000107c wstrb=0xf wdata=0x00000006 rdata=0x00000000 trap=0
t=3595000 instr=1 addr=0x00000124 wstrb=0x0 wdata=0x00000006 rdata=0x08552023 trap=0
t=3615000 instr=0 addr=0x00000580 wstrb=0x0 wdata=0x00000006 rdata=0x00000003 trap=0
t=3645000 instr=1 addr=0x00000128 wstrb=0x0 wdata=0x00000006 rdata=0x0845a283 trap=0
t=3665000 instr=0 addr=0x00001080 wstrb=0xf wdata=0x00000003 rdata=0x00000000 trap=0
t=3695000 instr=1 addr=0x0000012c wstrb=0x0 wdata=0x00000003 rdata=0x08552223 trap=0
t=3715000 instr=0 addr=0x00000584 wstrb=0x0 wdata=0x00000003 rdata=0x00000005 trap=0
t=3745000 instr=1 addr=0x00000130 wstrb=0x0 wdata=0x00000003 rdata=0x0885a283 trap=0
t=3765000 instr=0 addr=0x00001084 wstrb=0xf wdata=0x00000005 rdata=0x00000000 trap=0
t=3795000 instr=1 addr=0x00000134 wstrb=0x0 wdata=0x00000005 rdata=0x08552423 trap=0
t=3815000 instr=0 addr=0x00000588 wstrb=0x0 wdata=0x00000005 rdata=0x00000005 trap=0
t=3845000 instr=1 addr=0x00000138 wstrb=0x0 wdata=0x00000005 rdata=0x08c5a283 trap=0
t=3865000 instr=0 addr=0x00001088 wstrb=0xf wdata=0x00000005 rdata=0x00000000 trap=0
t=3895000 instr=1 addr=0x0000013c wstrb=0x0 wdata=0x00000005 rdata=0x08552623 trap=0
t=3915000 instr=0 addr=0x0000058c wstrb=0x0 wdata=0x00000005 rdata=0x00000005 trap=0
t=3945000 instr=1 addr=0x00000140 wstrb=0x0 wdata=0x00000005 rdata=0x0905a283 trap=0
t=3965000 instr=0 addr=0x0000108c wstrb=0xf wdata=0x00000005 rdata=0x00000000 trap=0
t=3995000 instr=1 addr=0x00000144 wstrb=0x0 wdata=0x00000005 rdata=0x08552823 trap=0
t=4015000 instr=0 addr=0x00000590 wstrb=0x0 wdata=0x00000005 rdata=0x00000008 trap=0
t=4045000 instr=1 addr=0x00000148 wstrb=0x0 wdata=0x00000005 rdata=0x0945a283 trap=0
t=4065000 instr=0 addr=0x00001090 wstrb=0xf wdata=0x00000008 rdata=0x00000000 trap=0
t=4095000 instr=1 addr=0x0000014c wstrb=0x0 wdata=0x00000008 rdata=0x08552a23 trap=0
t=4115000 instr=0 addr=0x00000594 wstrb=0x0 wdata=0x00000008 rdata=0x00000005 trap=0
t=4145000 instr=1 addr=0x00000150 wstrb=0x0 wdata=0x00000008 rdata=0x0985a283 trap=0
t=4165000 instr=0 addr=0x00001094 wstrb=0xf wdata=0x00000005 rdata=0x00000000 trap=0
t=4195000 instr=1 addr=0x00000154 wstrb=0x0 wdata=0x00000005 rdata=0x08552c23 trap=0
t=4215000 instr=0 addr=0x00000598 wstrb=0x0 wdata=0x00000005 rdata=0x0000000f trap=0
t=4245000 instr=1 addr=0x00000158 wstrb=0x0 wdata=0x00000005 rdata=0x09c5a283 trap=0
t=4265000 instr=0 addr=0x00001098 wstrb=0xf wdata=0x0000000f rdata=0x00000000 trap=0
t=4295000 instr=1 addr=0x0000015c wstrb=0x0 wdata=0x0000000f rdata=0x08552e23 trap=0
t=4315000 instr=0 addr=0x0000059c wstrb=0x0 wdata=0x0000000f rdata=0x0000000c trap=0
t=4345000 instr=1 addr=0x00000160 wstrb=0x0 wdata=0x0000000f rdata=0x0a05a283 trap=0
t=4365000 instr=0 addr=0x0000109c wstrb=0xf wdata=0x0000000c rdata=0x00000000 trap=0
t=4395000 instr=1 addr=0x00000164 wstrb=0x0 wdata=0x0000000c rdata=0x0a552023 trap=0
t=4415000 instr=0 addr=0x000005a0 wstrb=0x0 wdata=0x0000000c rdata=0x00000005 trap=0
t=4445000 instr=1 addr=0x00000168 wstrb=0x0 wdata=0x0000000c rdata=0x0a45a283 trap=0
t=4465000 instr=0 addr=0x000010a0 wstrb=0xf wdata=0x00000005 rdata=0x00000000 trap=0
t=4495000 instr=1 addr=0x0000016c wstrb=0x0 wdata=0x00000005 rdata=0x0a552223 trap=0
t=4515000 instr=0 addr=0x000005a4 wstrb=0x0 wdata=0x00000005 rdata=0x0000000b trap=0
t=4545000 instr=1 addr=0x00000170 wstrb=0x0 wdata=0x00000005 rdata=0x0a85a283 trap=0
t=4565000 instr=0 addr=0x000010a4 wstrb=0xf wdata=0x0000000b rdata=0x00000000 trap=0
t=4595000 instr=1 addr=0x00000174 wstrb=0x0 wdata=0x0000000b rdata=0x0a552423 trap=0
t=4615000 instr=0 addr=0x000005a8 wstrb=0x0 wdata=0x0000000b rdata=0x00000002 trap=0
t=4645000 instr=1 addr=0x00000178 wstrb=0x0 wdata=0x0000000b rdata=0x0ac5a283 trap=0
t=4665000 instr=0 addr=0x000010a8 wstrb=0xf wdata=0x00000002 rdata=0x00000000 trap=0
t=4695000 instr=1 addr=0x0000017c wstrb=0x0 wdata=0x00000002 rdata=0x0a552623 trap=0
t=4715000 instr=0 addr=0x000005ac wstrb=0x0 wdata=0x00000002 rdata=0x00000009 trap=0
t=4745000 instr=1 addr=0x00000180 wstrb=0x0 wdata=0x00000002 rdata=0x0b05a283 trap=0
t=4765000 instr=0 addr=0x000010ac wstrb=0xf wdata=0x00000009 rdata=0x00000000 trap=0
t=4795000 instr=1 addr=0x00000184 wstrb=0x0 wdata=0x00000009 rdata=0x0a552823 trap=0
